Business Understanding;Data Acquisition and Exploration;Modeling;Validation;Deployment;Monitoring;Which of the following problems impacted the Data Science projects you have taken part in the most?;How common are project delays?;Which methodology do you or your team use in Data Science projects?;What is your profession?;Submitted At;Token
9;8;4;6;7;5;Frequent delays, Late/low engagement of stakeholders, Poor communication;9;CRISP-DM;Data Scientist;3/12/2020 2:37:00;89wqus8i3nwbf1e1189wqugbf104wtzp
7;4;6;7;4;4;Ill-defined problem or business objectives, Frequent delays, Late/low engagement of stakeholders;7;Kanban;Data Analyst;3/12/2020 14:44:27;6411j50ys0vx1vnyb46411j50smzlpsq
8;6;4;7;9;10;Ineffective coordination between teams, Late/low engagement of stakeholders, Ill-defined problem or business objectives;8;None;Data Scientist;3/12/2020 14:46:28;79ciu5cnnvnzrig5l0l79cufs1sdou4w
8;9;3;7;7;3;Late/low engagement of stakeholders, Ill-defined problem or business objectives;10;Kanban;Manager;3/12/2020 14:48:43;gixm8nk1y4b001rcugixkuu41dux0cii
8;10;6;4;6;4;Ill-defined problem or business objectives;5;Scrum;Data Scientist;3/12/2020 15:30:12;f8wwy2mqj7e1f0f8ww2sw1fadol6hish
8;9;2;3;9;1;Late/low engagement of stakeholders, Poor communication, Ill-defined problem or business objectives;8;Scrum;Data Scientist;3/12/2020 15:35:04;ubw1xplpp2mhmgnzbenyq4ubw1xpjqv3
8;8;6;8;10;6;Late/low engagement of stakeholders, Ill-defined problem or business objectives, Infrastructure;8;Kanban;Data Scientist;3/12/2020 15:35:11;yqlrbjv7eq4ivoffyqlrba7ttx4lvh6r
0;3;5;4;6;5;Ill-defined problem or business objectives, Late/low engagement of stakeholders, Frequent delays;6;CRISP-DM;Data Scientist;3/12/2020 15:36:20;vrwlvt0006ic3x8ntmvrwl4iddkss92h
7;9;6;8;7;7;Poor communication, Ill-defined problem or business objectives, Frequent delays;8;CRISP-DM;Data Analyst;3/12/2020 15:37:44;wxhjaiec8ytvzj32wxhjaiovr70f6rhi
10;7;5;8;6;6;Ineffective coordination between teams, Late/low engagement of stakeholders, Ill-defined problem or business objectives;10;Scrum;Data Scientist;3/12/2020 16:12:53;vlsj0nsnp6y7zxuh7mp6vlsj0nsnme86
10;8;4;6;10;8;Ill-defined problem or business objectives, Late/low engagement of stakeholders, Ineffective coordination between teams;10;CRISP-DM;Data Scientist;3/13/2020 0:57:10;qkb71hfvdshzqkb7f7mokijdg0hiko9v
6;8;5;7;4;8;Poor communication, Ineffective coordination between teams;7;Scrum;Data Analyst;4/2/2020 3:39:58;lqyptzvzu73qpfdlqysnimm5swcjxmvl
8;9;7;9;7;8;Late/low engagement of stakeholders;4;Kanban;Data Scientist;4/9/2020 19:13:09;ogodb0fur9qurjhez7dn009ogodb0fur
9;9;3;5;8;5;Ill-defined problem or business objectives, Poor communication, Late/low engagement of stakeholders;7;Scrum;Data Scientist;4/9/2020 20:36:32;v9014ue2bxmb2oagmv901ssw24plgyus
5;5;5;5;5;7;Frequent delays;6;Scrum;Data Analyst;4/10/2020 0:12:53;b2vzeqs4nm1xh36fb2vza80ye2s8e6gj
8;8;7;9;7;7;Late/low engagement of stakeholders;6;CRISP-DM;Data Scientist;4/10/2020 0:43:03;5jiv4bidrcbpjxjv5jiv4b3e1aglfkye
7;6;4;9;6;6;Ineffective coordination between teams, Late/low engagement of stakeholders, Poor communication;9;Kanban;Data Scientist;4/10/2020 1:41:41;9dlrmba78yl1v979dlre0o41iucbthab
9;8;10;8;8;8;Late/low engagement of stakeholders;7;Scrum;Manager;4/10/2020 1:43:25;ry6bq9a0v676x46rlalyry6bq9abyo3y
10;5;8;10;10;10;Ineffective coordination between teams;9;None;Data Engineer;4/10/2020 12:05:33;uplzhi096iq365gvuplzhiep5gjg5wl5
3;7;7;8;7;5;Frequent delays, Ineffective coordination between teams, Late/low engagement of stakeholders;6;None;Data Scientist;4/13/2020 18:39:32;3rwou9bvxpj4s1w33rwyozzv7lp9bktk
8;10;5;7;8;5;Ill-defined problem or business objectives, Frequent delays, Poor communication;9;Scrum;Data Scientist;4/17/2020 16:03:45;m2qvtg0z9u7qo7m2qvviyg93vdtcu668
8;9;4;4;6;4;Poor communication, Late/low engagement of stakeholders;3;Scrum;Data Scientist;4/17/2020 17:07:56;sg4x1ze4jhpawe46tviyar3sg4x1ze4c
8;8;8;8;8;8;Ineffective coordination between teams;7;Scrum;Data Scientist;4/17/2020 17:09:10;9sq41oaetlgjsl4x63vbi8o9sq41oitz
7;3;1;8;3;6;Ineffective coordination between teams, Late/low engagement of stakeholders, Ill-defined problem or business objectives;2;Scrum;Data Scientist;4/17/2020 18:12:59;9ziv0toxucra0yieq9ziv0dgtilq1jiu
3;9;1;3;1;6;Ill-defined problem or business objectives, Late/low engagement of stakeholders;10;Kanban;Data Scientist;4/17/2020 19:19:42;n8ehc7ncoafjan8eh4ai9nkltxqgqbuj
7;5;4;6;3;6;Ill-defined problem or business objectives, Ineffective coordination between teams;8;Scrum;Data Engineer;4/17/2020 20:07:05;88vlhtg3msfly917288vlj7u6z07nwey
9;8;7;8;8;8;Ill-defined problem or business objectives, Late/low engagement of stakeholders, Poor communication;9;Scrum;Manager;4/17/2020 20:22:41;mym98e5mp2fskir6bnmym98e2efl6k9k
