,buss_underst_diff,data_acq_expl_diff,modeling_diff,validation_diff,deployment_diff,monitoring_diff,delays_freq,methodology,profession,Useless_data_entries_made_by_users,Poor_communication,The_amount_of_data,Frequent_delays,Infrastructure,Ill-defined_problem_or_business_objectives,Late/low_engagement_of_stakeholders,Ineffective_coordination_between_teams
0,9,8,4,6,7,5,9,CRISP-DM,Data Scientist,0,1,0,1,0,0,1,0
1,7,4,6,7,4,4,7,Kanban,Data Analyst,0,0,0,1,0,1,1,0
2,8,6,4,7,9,10,8,None,Data Scientist,0,0,0,0,0,1,1,1
3,8,9,3,7,7,3,10,Kanban,Manager,0,0,0,0,0,1,1,0
4,8,10,6,4,6,4,5,Scrum,Data Scientist,0,0,0,0,0,1,0,0
5,8,9,2,3,9,1,8,Scrum,Data Scientist,0,1,0,0,0,1,1,0
6,8,8,6,8,10,6,8,Kanban,Data Scientist,0,0,0,0,1,1,1,0
7,0,3,5,4,6,5,6,CRISP-DM,Data Scientist,0,0,0,1,0,1,1,0
8,7,9,6,8,7,7,8,CRISP-DM,Data Analyst,0,1,0,1,0,1,0,0
9,10,7,5,8,6,6,10,Scrum,Data Scientist,0,0,0,0,0,1,1,1
10,10,8,4,6,10,8,10,CRISP-DM,Data Scientist,0,0,0,0,0,1,1,1
11,6,8,5,7,4,8,7,Scrum,Data Analyst,0,1,0,0,0,0,0,1
12,8,9,7,9,7,8,4,Kanban,Data Scientist,0,0,0,0,0,0,1,0
13,9,9,3,5,8,5,7,Scrum,Data Scientist,0,1,0,0,0,1,1,0
14,5,5,5,5,5,7,6,Scrum,Data Analyst,0,0,0,1,0,0,0,0
15,8,8,7,9,7,7,6,CRISP-DM,Data Scientist,0,0,0,0,0,0,1,0
16,7,6,4,9,6,6,9,Kanban,Data Scientist,0,1,0,0,0,0,1,1
17,9,8,10,8,8,8,7,Scrum,Manager,0,0,0,0,0,0,1,0
18,10,5,8,10,10,10,9,None,Data Engineer,0,0,0,0,0,0,0,1
19,3,7,7,8,7,5,6,None,Data Scientist,0,0,0,1,0,0,1,1
20,8,10,5,7,8,5,9,Scrum,Data Scientist,0,1,0,1,0,1,0,0
21,8,9,4,4,6,4,3,Scrum,Data Scientist,0,1,0,0,0,0,1,0
22,8,8,8,8,8,8,7,Scrum,Data Scientist,0,0,0,0,0,0,0,1
23,7,3,1,8,3,6,2,Scrum,Data Scientist,0,0,0,0,0,1,1,1
24,3,9,1,3,1,6,10,Kanban,Data Scientist,0,0,0,0,0,1,1,0
25,7,5,4,6,3,6,8,Scrum,Data Engineer,0,0,0,0,0,1,0,1
26,9,8,7,8,8,8,9,Scrum,Manager,0,1,0,0,0,1,1,0
27,10,8,6,6,8,7,6,None,Manager,0,1,0,0,0,1,1,0
28,8,7,5,2,1,3,8,Scrum,Manager,0,0,0,0,0,1,0,0
29,9,8,6,8,7,7,7,Kanban,Data Scientist,0,1,0,0,0,1,1,0
30,7,9,6,8,10,2,7,QuantumBlack One,Data Scientist,0,0,0,0,0,0,1,1
31,6,5,5,5,8,2,10,Kanban,Vice President,0,0,0,0,0,1,0,0
32,4,8,3,9,1,4,8,Kanban,Manager,1,0,0,1,0,0,0,1
33,8,7,2,9,10,10,3,Kanban,Data Scientist,0,0,0,0,0,0,0,0
34,3,8,4,7,9,10,7,Kanban,Machine Learning Engineer,0,0,0,0,0,1,0,0
35,6,8,6,7,6,6,6,Kanban,Data Scientist,0,0,0,0,0,1,0,1
36,3,3,5,7,1,3,5,Kanban,Data Analyst,0,0,0,0,0,0,0,1
37,2,4,4,2,7,1,6,Kanban,Manager,0,0,0,0,0,1,1,1
38,6,7,6,6,5,7,6,CRISP-DM,Data Scientist,0,0,0,0,0,1,0,1
39,9,5,3,7,9,5,8,None,Manager,0,0,0,0,0,1,0,0
40,8,8,9,7,10,6,8,Scrum,Data Scientist,0,0,0,1,0,0,1,0
41,9,5,8,9,9,9,8,Kanban,Data Scientist,0,0,0,0,0,1,0,0
42,2,6,6,6,9,7,5,None,Data Scientist,0,0,1,0,0,0,0,0
43,10,6,6,7,5,7,5,CRISP-DM,Data Scientist,0,0,0,0,0,0,1,1
44,5,10,6,7,10,10,8,None,Data Analyst,0,0,0,0,0,1,0,0
45,8,8,5,6,6,5,7,Scrum,Data Scientist,0,0,0,0,0,1,1,0
46,5,7,7,7,8,5,2,None,Data Analyst,0,0,0,0,0,0,1,0
47,6,8,3,8,10,8,8,Scrum,Data Analyst,0,0,0,0,0,1,0,0
48,2,4,9,8,7,5,2,Kanban,Data Analyst,0,0,0,0,0,0,1,1
49,7,6,6,6,7,6,0,CRISP-DM,Data Scientist,0,1,0,0,0,0,0,0
50,4,7,5,6,3,5,5,Scrum,Data Analyst,0,0,0,0,0,1,1,1
51,8,5,5,3,5,7,6,Kanban,Data Engineer,0,0,0,0,0,1,1,0
52,7,7,6,9,6,6,7,None,Data Analyst,0,0,0,0,0,1,0,0
53,7,2,2,2,10,7,6,Scrum,Data Engineer,0,1,0,0,0,1,1,0
54,5,8,8,6,6,6,5,None,Data Analyst,0,0,0,0,0,1,0,0
55,4,6,9,7,6,3,8,Scrum,Data Analyst,0,1,0,0,0,1,0,0
56,9,8,3,6,8,8,8,Kanban,Data Scientist,0,0,0,0,0,1,1,1
57,3,4,7,7,3,3,7,Kanban,Data Scientist,0,1,0,1,0,1,0,0
58,7,4,2,7,9,5,10,Scrum,Manager,0,0,0,1,0,1,1,0
59,8,10,6,7,9,7,8,Kanban,Data Scientist,0,0,0,0,0,1,1,1
60,8,8,3,6,7,7,8,None,Data Scientist,0,1,0,1,0,1,0,0
61,6,8,4,2,7,3,4,Kanban,Manager,0,1,0,0,0,1,1,0
62,10,7,2,5,3,7,3,CRISP-DM,Data Scientist,0,0,0,0,0,1,0,1
63,7,10,6,8,10,7,8,Scrum,Data Scientist,0,1,0,1,0,1,0,0
64,0,6,5,5,8,2,6,Kanban,Data Scientist,0,1,0,1,0,0,0,1
65,6,6,4,6,6,7,7,Kanban,Data Scientist,0,1,0,1,0,1,0,0
66,6,7,6,7,8,6,8,Kanban,Data Scientist,0,0,0,0,0,1,0,0
67,8,10,7,8,5,7,8,Scrum,Data Engineer,0,0,0,0,0,0,1,0
68,10,4,5,5,6,8,6,CRISP-DM,Data Scientist,0,0,0,0,0,0,1,0
69,2,8,5,5,9,7,6,Scrum,Machine Learning Engineer,0,1,0,0,0,0,1,0
70,3,5,4,6,3,1,3,Kanban,Data Scientist,0,0,0,0,0,1,0,0
71,10,8,6,10,10,10,8,Kanban,Data Engineer,0,0,0,0,0,0,1,0
72,7,3,6,9,7,2,6,Scrum,Data Scientist,0,1,0,0,0,1,0,1
73,10,6,6,10,10,7,5,CRISP-DM,Data Scientist,0,0,0,0,0,1,1,1
74,7,8,5,6,6,6,5,CRISP-DM,Data Scientist,0,0,0,0,0,1,0,0
75,2,5,1,1,7,2,4,Kanban,Manager,0,0,0,0,0,0,1,0
76,7,9,5,3,10,9,8,Scrum,Data Engineer,0,0,0,0,0,0,1,0
77,7,10,9,5,5,5,7,Scrum,Data Scientist,0,0,0,0,0,0,1,1
78,6,8,4,7,7,7,7,Scrum,Manager,0,0,0,0,0,1,0,1
79,5,8,9,3,6,5,7,Scrum,Data Scientist,0,0,0,0,0,1,1,1
80,9,3,7,9,1,3,7,Kanban,Manager,0,0,0,0,0,1,0,0
81,5,2,4,2,3,1,7,Microsoft TDSP,Data Analyst,0,1,0,0,0,1,0,1
82,9,4,6,8,5,7,4,CRISP-DM,Manager,0,1,0,0,0,1,1,0
